ccaa,sexo,nivel_formacion,year,pct_poblacion_nivel_formacion
Asturias,mujer,Primera etapa de Educación Secundaria y similar,2017,21.375
Asturias,mujer,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2017,7.05
Asturias,mujer,"Segunda etapa de educación secundaria, con orientación general",2017,13.425
Asturias,hombre,Analfabetos,2018,0.575
Asturias,hombre,Educación primaria,2018,15.45
Asturias,hombre,Educación superior,2018,33.15
Asturias,hombre,Estudios primarios incompletos,2018,2.4
Asturias,hombre,Primera etapa de Educación Secundaria y similar,2018,26.175
Asturias,hombre,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2018,8.15
Asturias,hombre,"Segunda etapa de educación secundaria, con orientación general",2018,14.0
Asturias,mujer,Analfabetos,2018,0.8
Asturias,mujer,Educación primaria,2018,20.925
Asturias,mujer,Educación superior,2018,31.8
Asturias,mujer,Estudios primarios incompletos,2018,3.85
Asturias,mujer,Primera etapa de Educación Secundaria y similar,2018,22.275
Asturias,mujer,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2018,7.575
Asturias,mujer,"Segunda etapa de educación secundaria, con orientación general",2018,12.775
Asturias,hombre,Analfabetos,2019,0.35
Asturias,hombre,Educación primaria,2019,12.675
Asturias,hombre,Educación superior,2019,33.65
Asturias,hombre,Estudios primarios incompletos,2019,1.85
Asturias,hombre,Primera etapa de Educación Secundaria y similar,2019,30.3
Asturias,hombre,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2019,7.125
Asturias,hombre,"Segunda etapa de educación secundaria, con orientación general",2019,14.025
Asturias,mujer,Analfabetos,2019,0.625
Asturias,mujer,Educación primaria,2019,17.3
Asturias,mujer,Educación superior,2019,31.45
Asturias,mujer,Estudios primarios incompletos,2019,4.125
Asturias,mujer,Primera etapa de Educación Secundaria y similar,2019,24.225
Asturias,mujer,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2019,8.725
Asturias,mujer,"Segunda etapa de educación secundaria, con orientación general",2019,13.475
Asturias,hombre,Analfabetos,2020,0.5
Asturias,hombre,Educación primaria,2020,10.725
Asturias,hombre,Educación superior,2020,34.65
Asturias,hombre,Estudios primarios incompletos,2020,1.5
Asturias,hombre,Primera etapa de Educación Secundaria y similar,2020,29.475
